snapshot_date,team_code,team_name_ko,rank,games,wins,losses,draws,win_rate,games_behind,winning_streak,batting_avg,era,recent_games,source,status,evidence_type,collected_at
2026-09-07,SAMSUNG,삼성,1,121,72,46,3,0.610,0.0,2승,0.280,4.12,7승-2패-1무,https://gw.tving.com/bff/sports/v2/kbo/history/team?yearSeason=2026&gameSeason=0&screenCode=CSSD0100&osCode=CSOD0900,CONFIRMED,THIRD_PARTY_API,2026-09-07 13:48:07
2026-09-07,KT,KT,2,118,69,46,3,0.600,1.5,3패,0.279,4.40,5승-5패-0무,https://gw.tving.com/bff/sports/v2/kbo/history/team?yearSeason=2026&gameSeason=0&screenCode=CSSD0100&osCode=CSOD0900,CONFIRMED,THIRD_PARTY_API,2026-09-07 13:48:07
2026-09-07,LG,LG,3,122,68,53,1,0.562,5.5,2패,0.266,4.82,7승-3패-0무,https://gw.tving.com/bff/sports/v2/kbo/history/team?yearSeason=2026&gameSeason=0&screenCode=CSSD0100&osCode=CSOD0900,CONFIRMED,THIRD_PARTY_API,2026-09-07 13:48:07
2026-09-07,KIA,KIA,4,120,66,52,2,0.559,6.0,3승,0.272,4.38,6승-4패-0무,https://gw.tving.com/bff/sports/v2/kbo/history/team?yearSeason=2026&gameSeason=0&screenCode=CSSD0100&osCode=CSOD0900,CONFIRMED,THIRD_PARTY_API,2026-09-07 13:48:07
2026-09-07,DOOSAN,두산,5,123,62,57,4,0.521,10.5,1승,0.267,3.67,3승-7패-0무,https://gw.tving.com/bff/sports/v2/kbo/history/team?yearSeason=2026&gameSeason=0&screenCode=CSSD0100&osCode=CSOD0900,CONFIRMED,THIRD_PARTY_API,2026-09-07 13:48:07
2026-09-07,NC,NC,6,116,55,59,2,0.482,15.0,1패,0.273,4.67,7승-3패-0무,https://gw.tving.com/bff/sports/v2/kbo/history/team?yearSeason=2026&gameSeason=0&screenCode=CSSD0100&osCode=CSOD0900,CONFIRMED,THIRD_PARTY_API,2026-09-07 13:48:07
2026-09-07,HANWHA,한화,7,120,52,65,3,0.444,19.5,3승,0.276,5.16,3승-7패-0무,https://gw.tving.com/bff/sports/v2/kbo/history/team?yearSeason=2026&gameSeason=0&screenCode=CSSD0100&osCode=CSOD0900,CONFIRMED,THIRD_PARTY_API,2026-09-07 13:48:07
2026-09-07,SSG,SSG,8,124,52,67,5,0.437,20.5,1패,0.261,5.38,7승-3패-0무,https://gw.tving.com/bff/sports/v2/kbo/history/team?yearSeason=2026&gameSeason=0&screenCode=CSSD0100&osCode=CSOD0900,CONFIRMED,THIRD_PARTY_API,2026-09-07 13:48:07
2026-09-07,LOTTE,롯데,9,119,51,66,2,0.436,20.5,3패,0.268,4.78,1승-9패-0무,https://gw.tving.com/bff/sports/v2/kbo/history/team?yearSeason=2026&gameSeason=0&screenCode=CSSD0100&osCode=CSOD0900,CONFIRMED,THIRD_PARTY_API,2026-09-07 13:48:07
2026-09-07,KIWOOM,키움,10,127,44,80,3,0.355,31.0,1승,0.243,5.31,2승-8패-0무,https://gw.tving.com/bff/sports/v2/kbo/history/team?yearSeason=2026&gameSeason=0&screenCode=CSSD0100&osCode=CSOD0900,CONFIRMED,THIRD_PARTY_API,2026-09-07 13:48:07
