id,raw_id,source,team,team_code,category,updated_at,content,status,evidence_type,parse_status,policy_type,policy_name,policy_subtype,open_date,open_ampm,open_time,game_date_mmdd,opponent_name_raw,away_team_name_raw,home_team_name_raw,away_team_code,home_team_code,max_tickets,booking_channel_and_condition
ticket_policy_f4b3305af92f7c91,ticket_policy_582d03283d3b5fe8,https://yagu.today/calendar/2026/9,두산,DOOSAN,ticket_policy,2026-09-05 03:01:02,"[선예매] 두산 선예매 (베어스클럽) 9월 5일 토요일 오전 10시 (9/12 NC전) NC vs 두산 (9/12) 오픈: 9월 5일 토요일 오전 최대 2매 예매처: 구단 홈페이지 성인 대상, 구단 홈페이지만 가능",CONFIRMED,THIRD_PARTY_API,OK,선예매,두산 선예매,베어스클럽,9월 5일 토요일,오전,10시,9/12,NC,NC,두산,NC,DOOSAN,2,"구단 홈페이지 성인 대상, 구단 홈페이지만 가능"
ticket_policy_a6cda2421ae76420,ticket_policy_582d03283d3b5fe8,https://yagu.today/calendar/2026/9,두산,DOOSAN,ticket_policy,2026-09-05 03:01:02,"[선예매] 두산 선예매 (두린이클럽) 9월 5일 토요일 오전 10시 (9/12 NC전) NC vs 두산 (9/12) 오픈: 9월 5일 토요일 오전 최대 4매 예매처: 구단 홈페이지 어린이 대상, 구단 홈페이지만 가능",CONFIRMED,THIRD_PARTY_API,OK,선예매,두산 선예매,두린이클럽,9월 5일 토요일,오전,10시,9/12,NC,NC,두산,NC,DOOSAN,4,"구단 홈페이지 어린이 대상, 구단 홈페이지만 가능"
ticket_policy_df46fcd99901f481,ticket_policy_2fa14ceeb9545598,https://yagu.today/calendar/2026/9,KIA,KIA,ticket_policy,2026-09-05 03:01:02,[선예매] KIA 시즌권 선예매 9월 5일 토요일 오전 10시 (9/13 한화전) 한화 vs KIA (9/13) 오픈: 9월 5일 토요일 오전 최대 2매 예매처: 타이거즈앱 앱 전용 등급별 조건 오피셜 미확정 (2026 시즌 공지 대기),CONFIRMED,THIRD_PARTY_API,OK,선예매,KIA 시즌권 선예매,,9월 5일 토요일,오전,10시,9/13,한화,한화,KIA,HANWHA,KIA,2,타이거즈앱 앱 전용 등급별 조건 오피셜 미확정 (2026 시즌 공지 대기)
ticket_policy_a517f0919bf87170,ticket_policy_bb395844b38f22d6,https://yagu.today/calendar/2026/9,롯데,LOTTE,ticket_policy,2026-09-05 03:01:02,[선예매] 롯데 선예매 (시즌권) 9월 5일 토요일 오전 10시 (9/19 삼성전) 삼성 vs 롯데 (9/19) 오픈: 9월 5일 토요일 오전 최대 2매 예매처: 롯데 자이언츠 앱/웹,CONFIRMED,THIRD_PARTY_API,OK,선예매,롯데 선예매,시즌권,9월 5일 토요일,오전,10시,9/19,삼성,삼성,롯데,SAMSUNG,LOTTE,2,롯데 자이언츠 앱/웹
ticket_policy_196bc6dbc8acead3,ticket_policy_bb395844b38f22d6,https://yagu.today/calendar/2026/9,롯데,LOTTE,ticket_policy,2026-09-05 03:01:02,[선예매] 롯데 선예매 (멤버십) 9월 5일 토요일 오전 10시 (9/19 삼성전) 삼성 vs 롯데 (9/19) 오픈: 9월 5일 토요일 오전 최대 2매 예매처: 롯데 자이언츠 앱/웹,CONFIRMED,THIRD_PARTY_API,OK,선예매,롯데 선예매,멤버십,9월 5일 토요일,오전,10시,9/19,삼성,삼성,롯데,SAMSUNG,LOTTE,2,롯데 자이언츠 앱/웹
ticket_policy_33850e0aa238b8e2,ticket_policy_c42d97b02c4a0f60,https://yagu.today/calendar/2026/9,KIA,KIA,ticket_policy,2026-09-05 03:01:02,[선예매] KIA 얼리 멤버십 9월 5일 토요일 오전 10시 30분 (9/13 한화전) 한화 vs KIA (9/13) 오픈: 9월 5일 토요일 오전 30분 최대 2매 예매처: 타이거즈앱 앱 전용 일반석 한정,CONFIRMED,THIRD_PARTY_API,OK,선예매,KIA 얼리 멤버십,,9월 5일 토요일,오전,10시 30분,9/13,한화,한화,KIA,HANWHA,KIA,2,타이거즈앱 앱 전용 일반석 한정
ticket_policy_bade564c9f036dbf,ticket_policy_7ae211c7e76cb080,https://yagu.today/calendar/2026/9,SSG,SSG,ticket_policy,2026-09-05 03:01:02,[일반] SSG 일반예매 (프렌즈) 9월 5일 토요일 오전 11시 (9/10 한화전) 한화 vs SSG (9/10) 오픈: 9월 5일 토요일 오전 최대 6매 예매처: 쓱닷컴 앱/웹 스타벅스 게이트 이용 가능,CONFIRMED,THIRD_PARTY_API,OK,일반,SSG 일반예매,프렌즈,9월 5일 토요일,오전,11시,9/10,한화,한화,SSG,HANWHA,SSG,6,쓱닷컴 앱/웹 스타벅스 게이트 이용 가능
ticket_policy_4b6ba9de2d87997a,ticket_policy_f6f8f24fe990e53f,https://yagu.today/calendar/2026/9,두산,DOOSAN,ticket_policy,2026-09-05 03:01:02,[일반] 두산 일반예매 9월 5일 토요일 오전 11시 (9/12 NC전) NC vs 두산 (9/12) 오픈: 9월 5일 토요일 오전 예매처: 놀티켓 / 구단 홈페이지,CONFIRMED,THIRD_PARTY_API,OK,일반,두산 일반예매,,9월 5일 토요일,오전,11시,9/12,NC,NC,두산,NC,DOOSAN,,놀티켓 / 구단 홈페이지
ticket_policy_63ebbb8e7d24a8e1,ticket_policy_c8097f2779e4bf56,https://yagu.today/calendar/2026/9,키움,KIWOOM,ticket_policy,2026-09-05 03:01:02,[선예매] 키움 시즌권 선예매 9월 5일 토요일 오전 11시 (9/12 롯데전) 롯데 vs 키움 (9/12) 오픈: 9월 5일 토요일 오전 최대 4매 예매처: 놀티켓,CONFIRMED,THIRD_PARTY_API,OK,선예매,키움 시즌권 선예매,,9월 5일 토요일,오전,11시,9/12,롯데,롯데,키움,LOTTE,KIWOOM,4,놀티켓
ticket_policy_c470a0d08cab6e45,ticket_policy_3be67ed937b2103f,https://yagu.today/calendar/2026/9,키움,KIWOOM,ticket_policy,2026-09-05 03:01:02,[선예매] 키움 멤버십 9월 5일 토요일 오후 12시 (9/12 롯데전) 롯데 vs 키움 (9/12) 오픈: 9월 5일 토요일 오후 최대 2매 예매처: 놀티켓,CONFIRMED,THIRD_PARTY_API,OK,선예매,키움 멤버십,,9월 5일 토요일,오후,12시,9/12,롯데,롯데,키움,LOTTE,KIWOOM,2,놀티켓
