team_code,team_name_ko_full,team_name_ko_short_csv,team_name_ko_short_alt,region,stadium_code,stadium_name_ko
LG,LG 트윈스,LG,LG,서울,JAMSIL,잠실야구장
DOOSAN,두산 베어스,두산,두산,서울,JAMSIL,잠실야구장
KIWOOM,키움 히어로즈,키움,키움,서울,GOCHEOK,고척스카이돔
SSG,SSG 랜더스,SSG,SSG,인천,MUNHAK,인천 SSG 랜더스필드
KT,KT 위즈,KT,kt,수원,SUWON,수원 KT 위즈 파크
HANWHA,한화 이글스,한화,한화,대전,DAEJEON,대전 한화생명 볼파크
SAMSUNG,삼성 라이온즈,삼성,삼성,대구,DAEGU,대구 삼성 라이온즈 파크
KIA,KIA 타이거즈,KIA,기아,광주,GWANGJU,광주-KIA 챔피언스 필드
LOTTE,롯데 자이언츠,롯데,롯데,부산,SAJIK,사직야구장
NC,NC 다이노스,NC,NC,창원,CHANGWON,창원 NC 파크
